transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price
0x63ee6d44a3c25ab244d4d47a2de212544a017e79d1a829a294d69f71134a7474,0,0xabd32259e01f7f37854c0c95ebbeaaf04c18eca5fa059747f693d350b8bc28ed,363,88285,88285,,,1,20000000000
0x6971eb54baa66b420b6c58172bd1ff17e1119e2c11cfdc92c45eb920675c1bf6,1,0xabd32259e01f7f37854c0c95ebbeaaf04c18eca5fa059747f693d350b8bc28ed,363,89801,1516,,,1,0
0x7a8ea16a733d7720b4ba92e1c462e8480ac19163b44e65d08aa4a161f4aeabb4,2,0xabd32259e01f7f37854c0c95ebbeaaf04c18eca5fa059747f693d350b8bc28ed,363,136951,47150,,,1,0
0x8bede44fa968a10ca99550c297cf57195f1a20fd5e5682347f21a67a7e260f5d,0,0xe28f876a58f8456d78ac2f2caaf5c8f02d40fee459f9e1200c55044d6b56fa40,398,88285,88285,,,1,20000000000
0x0833b0c78e81ed8c72e72ba73ad3c17af7c0e247ff5d5e8e1e44050a9e064b80,1,0xe28f876a58f8456d78ac2f2caaf5c8f02d40fee459f9e1200c55044d6b56fa40,398,89801,1516,,,1,0
0xfdb98a7a1772995740525b98e8b7902105038c5ffb8c8718d64cc89386a41877,2,0xe28f876a58f8456d78ac2f2caaf5c8f02d40fee459f9e1200c55044d6b56fa40,398,121951,32150,,,1,0
0xbaf8ffa0b475a67cfeac3992d24422804452f0982e4e21a8816db2e0c9e5f224,0,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,2047950,2047950,,,1,0
0x8ea486df4eafaf713fbbe3b4b0b4196e50fbd1ea93daf66675accf3bf3f59d00,1,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,2109800,61850,,,1,0
0x9ebc5237eabb339a103a34daf280db3d9498142b49fa47f1af71f64a605acffa,2,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,2540309,430509,,,1,0
0xc043c5d33f8c3a6d6c0853ff8cbe88ebdf746f8092cb763b18de65db45246a6e,3,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,2602213,61904,,,1,0
0x2f64d7e926e6fb62f906e18258097af179c213f0c87a717476cce1b334049797,4,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,2664157,61944,,,1,0
0x463f0a179a89f47b055df14897dd7c55a2d819351568045dcb0496f2875c71ee,5,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,2766965,102808,,,1,0
0xc02fd5fc71fe8bdc4fec3f97a019a4dc9961eb95e5251c55fcb3da76f5cb5bca,6,0x04055304e432294a65ff31069c4d3092ff8b58f009cdb50eba5351e0332ad0f6,1,3148599,381634,,,1,0
0x1d06a9d52255a2a4385d55093aec7671f3d7f6d83d4cd438991be8b6588e9b91,0,0xe9296d312a937cdefc201a8fe80dbfa8a9c958ada9e863ddbb324804722f1de0,2,130317,130317,,,1,0
0x2f9d8406e92d38d32b9873004dca9bffb8b2fe29fec97c22a3d541f124e4c44b,0,0x8aca9ab99dd4f3f4ac05d4cb00b6900c53af465e693f0d21598df99545494589,4,100317,100317,,,1,0
0xf5c280e505ce3747f1167658e91f908893e41115b85f5cc284c5a149e2722f1f,0,0xccb5d33f94d234f2bdce1acef59d5eb9193edc50692b82b6e0f80a8345ac7e6f,5,100317,100317,,,1,0
